flavor,flavor2,pairing_count,avg_rating,avg_success
anise,brandy,1,4,0.98
allspice,cashew,1,4,0.97
allspice,pistachio,2,4,0.96
blueberry,marshmallow,1,4,0.96
raisin,raspberry,1,4,0.96
champagne,lime,1,4,0.95
allspice,marshmallow,1,4,0.95
blueberry,rhubarb,1,4,0.95
blackberry,champagne,1,4,0.95
blueberry,pistachio,1,4,0.95
carrot,maple,1,4,0.94
coconut,grape,1,4,0.94
caramel,date,1,4,0.94
almond,champagne,1,4,0.93
mascarpone,oat,1,4,0.92
champagne,rum,1,4,0.91
champagne,nutmeg,1,4,0.91
carrot,rum,1,4,0.9
bay,ginger,1,4,0.88
date,pepper,1,4,0.88
date,pomegranate,1,4,0.83
pineapple,rhubarb,1,4,0.82
blueberry,date,1,4,0.8
graham,whiskey,1,4,0.8
basil,pecan,1,4,0.8
basil,cashew,1,4,0.8
basil,date,1,4,0.8
bay,maple,1,4,0.75
apricot,bay,1,4,0.75
chocolate,pomegranate,1,4,0.73
lime,oat,1,4,0.71
allspice,anise,1,4,0.67
bay,pineapple,1,4,0.67
anise,cherry,2,4,0.52
fig,pepper,2,4,0.49
ricotta,rose,2,4,0.47
basil,blackberry,2,4,0.45
lime,pumpkin,2,4,0.41
hibiscus,mint,1,4,0.1
cashew,fig,1,4,0.1
champagne,cinnamon,1,4,0.1
fennel,pepper,1,4,0.1
pepper,raspberry,1,4,0.1
cucumber,strawberry,1,4,0.1
carrot,ricotta,1,4,0.1
garlic,pecan,1,4,0.1
mint,whiskey,1,4,0.1
cucumber,lemon,1,4,0.1
graham,plum,1,4,0.1
bay,ricotta,1,4,0.1
coffee,pretzel,1,4,0.1
banana,whiskey,1,4,0.1
almond,pomegranate,2,4,0.1
graham,vodka,1,4,0.1
blackberry,fig,1,4,0.1
avocado,walnut,1,4,0.1
mango,ricotta,1,4,0.1
cardamom,cucumber,1,4,0.1
chamomile,strawberry,1,4,0.1
cashew,cherry,2,4,0.1
raspberry,thyme,1,4,0.1
bay,fig,1,4,0.1
anise,raisin,1,4,0.1
raisin,whiskey,1,4,0.1
garlic,pepper,1,4,0.1
cardamom,yam,1,4,0.1
hazelnut,pineapple,1,4,0.1
mint,tequila,1,4,0.1
blackberry,tarragon,1,4,0.1
plum,tarragon,1,4,0.1
cucumber,pistachio,1,4,0.1
peanut,ricotta,1,4,0
peanut,rose,1,4,0
blackberry,ricotta,4,3.88,0.53
peach,pepper,4,3.88,0.31
champagne,chocolate,3,3.83,0.91
cardamom,hazelnut,3,3.83,0.64
cherry,marshmallow,3,3.83,0.62
cherry,fig,8,3.81,0.36
lavender,strawberry,2,3.75,0.94
pineapple,pistachio,2,3.75,0.94
blueberry,champagne,2,3.75,0.93
cardamom,cocoa,2,3.75,0.91
hazelnut,pepper,2,3.75,0.86
bay,cherry,2,3.75,0.82
carrot,ginger,8,3.75,0.82
cranberry,grape,2,3.75,0.81
pepper,walnut,4,3.75,0.64
banana,grape,2,3.75,0.53
ginger,yam,2,3.75,0.52
peach,rose,1,3.75,0.52
cherry,grape,2,3.75,0.52
lime,rhubarb,2,3.75,0.51
brandy,champagne,2,3.75,0.51
basil,coconut,2,3.75,0.51
date,pineapple,2,3.75,0.5
champagne,pineapple,2,3.75,0.5
pecan,zucchini,2,3.75,0.49
apricot,lavender,2,3.75,0.49
coconut,yam,2,3.75,0.48
honey,tahini,2,3.75,0.47
banana,mascarpone,2,3.75,0.46
apple,whiskey,2,3.75,0.45
pepper,pistachio,2,3.75,0.43
date,mint,2,3.75,0.43
cinnamon,thyme,2,3.75,0.43
strawberry,vodka,2,3.75,0.39
peanut,pistachio,2,3.75,0.38
anise,raspberry,2,3.75,0.33
lime,plum,4,3.75,0.28
blackberry,cranberry,2,3.75,0.1
almond,yam,2,3.75,0.1
carrot,coconut,7,3.71,0.91
blueberry,ginger,14,3.71,0.56
carrot,pecan,5,3.7,0.75
pistachio,rhubarb,5,3.7,0.48
