"/Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/.venv/bin/python" /Users/rwikkamilya/MSc/Computational Creativity/computational_creativity_group_ass_1/src/run_ga.py 
[Gen 1] best=0.5387  mean=0.4239
[Gen 2] best=0.5401  mean=0.4134
[Gen 3] best=0.5743  mean=0.4417
[Gen 4] best=0.5919  mean=0.4702
[Gen 5] best=0.5926  mean=0.4960
[Gen 6] best=0.6113  mean=0.5075
[Gen 7] best=0.6148  mean=0.5307
[Gen 8] best=0.6630  mean=0.5265
[Gen 9] best=0.6630  mean=0.5636
[Gen 10] best=0.6630  mean=0.5254
[Gen 11] best=0.6683  mean=0.5482
[Gen 12] best=0.6787  mean=0.5627
[Gen 13] best=0.6887  mean=0.5889
[Gen 14] best=0.7338  mean=0.5898
[Gen 15] best=0.7819  mean=0.6095
[Gen 16] best=0.7819  mean=0.5788
[Gen 17] best=0.7819  mean=0.5995
[Gen 18] best=0.7819  mean=0.6036
[Gen 19] best=0.7819  mean=0.6188
[Gen 20] best=0.7819  mean=0.5633
[Gen 21] best=0.7876  mean=0.6266
[Gen 22] best=0.7876  mean=0.6316
[Gen 23] best=0.7876  mean=0.6180
[Gen 24] best=0.7876  mean=0.5875
[Gen 25] best=0.7876  mean=0.6184
[Gen 26] best=0.7876  mean=0.5342
[Gen 27] best=0.7876  mean=0.6228
[Gen 28] best=0.7885  mean=0.5741
[Gen 29] best=0.7885  mean=0.6372
[Gen 30] best=0.7916  mean=0.6063
[Gen 31] best=0.7916  mean=0.5961
[Gen 32] best=0.7916  mean=0.5887
[Gen 33] best=0.7916  mean=0.5983
[Gen 34] best=0.7916  mean=0.6343
[Gen 35] best=0.7916  mean=0.6892
[Gen 36] best=0.7916  mean=0.6247
[Gen 37] best=0.7916  mean=0.6261
[Gen 38] best=0.7916  mean=0.5473
[Gen 39] best=0.7916  mean=0.5567
[Gen 40] best=0.7916  mean=0.6084
[Gen 41] best=0.7916  mean=0.6344
[Gen 42] best=0.7922  mean=0.6260
[Gen 43] best=0.7922  mean=0.6418
[Gen 44] best=0.7922  mean=0.5852
[Gen 45] best=0.7922  mean=0.5258
[Gen 46] best=0.7922  mean=0.5744
[Gen 47] best=0.7922  mean=0.5959
[Gen 48] best=0.7922  mean=0.6272
[Gen 49] best=0.7922  mean=0.6200
[Gen 50] best=0.7922  mean=0.5622
[Gen 51] best=0.7922  mean=0.6306
[Gen 52] best=0.7922  mean=0.6140
[Gen 53] best=0.7922  mean=0.5576
[Gen 54] best=0.7958  mean=0.6140
[Gen 55] best=0.7958  mean=0.6111
[Gen 56] best=0.7958  mean=0.5814
[Gen 57] best=0.7958  mean=0.6090
[Gen 58] best=0.7958  mean=0.6194
[Gen 59] best=0.7958  mean=0.6278
[Gen 60] best=0.7958  mean=0.6352
[Gen 61] best=0.7958  mean=0.5951
[Gen 62] best=0.7966  mean=0.6217
[Gen 63] best=0.7966  mean=0.5886
[Gen 64] best=0.7966  mean=0.6544
[Gen 65] best=0.7969  mean=0.6318
[Gen 66] best=0.7969  mean=0.6447
[Gen 67] best=0.7969  mean=0.6634
[Gen 68] best=0.7969  mean=0.6312
[Gen 69] best=0.7979  mean=0.6031
[Gen 70] best=0.7987  mean=0.6106
[Gen 71] best=0.7987  mean=0.6245
[Gen 72] best=0.7987  mean=0.6519
[Gen 73] best=0.7987  mean=0.6486
[Gen 74] best=0.7987  mean=0.6407
[Gen 75] best=0.7987  mean=0.6258
[Gen 76] best=0.7987  mean=0.6382
[Gen 77] best=0.7987  mean=0.6347
[Gen 78] best=0.7987  mean=0.6562
[Gen 79] best=0.7994  mean=0.5718
[Gen 80] best=0.7994  mean=0.6320
[Gen 81] best=0.7994  mean=0.6316
[Gen 82] best=0.7994  mean=0.6362
[Gen 83] best=0.7994  mean=0.6409
[Gen 84] best=0.7994  mean=0.6276
[Gen 85] best=0.7994  mean=0.6239
[Gen 86] best=0.7994  mean=0.6490
[Gen 87] best=0.7994  mean=0.6350
[Gen 88] best=0.7994  mean=0.5716
[Gen 89] best=0.8043  mean=0.5721
[Gen 90] best=0.8043  mean=0.5998
[Gen 91] best=0.8043  mean=0.5896
[Gen 92] best=0.8043  mean=0.5714
[Gen 93] best=0.8043  mean=0.6646
[Gen 94] best=0.8043  mean=0.6338
[Gen 95] best=0.8043  mean=0.6544
[Gen 96] best=0.8043  mean=0.6342
[Gen 97] best=0.8043  mean=0.6232
[Gen 98] best=0.8043  mean=0.6618
[Gen 99] best=0.8091  mean=0.6328
[Gen 100] best=0.8091  mean=0.6324
[Gen 101] best=0.8091  mean=0.6417
[Gen 102] best=0.8091  mean=0.6484
[Gen 103] best=0.8091  mean=0.6644
[Gen 104] best=0.8091  mean=0.6519
[Gen 105] best=0.8091  mean=0.6332
[Gen 106] best=0.8091  mean=0.6188
[Gen 107] best=0.8091  mean=0.6095
[Gen 108] best=0.8091  mean=0.6080
[Gen 109] best=0.8107  mean=0.5941
[Gen 110] best=0.8107  mean=0.6521
[Gen 111] best=0.8107  mean=0.6560
[Gen 112] best=0.8107  mean=0.6252
